log10_omega,regime,delta
-0.6666666666666667,11,-0.045776490580695106
-0.5185185185185186,11,-0.06352470056925516
-0.37037037037037046,11,-0.08071626372795124
-0.2222222222222223,11,-0.09463543118753107
-0.07407407407407418,11,-0.1030720611342336
0.07407407407407397,11,-0.10461301173172599
0.22222222222222235,11,-0.09859619375241757
0.3703703703703703,11,-0.08425462419092436
0.5185185185185182,11,-0.05833143953134754
0.6666666666666665,11,-0.011293088071011217
0.8148148148148149,11,0.07418843766131719
0.9629629629629628,11,0.21451304361268053
1.1111111111111107,11,0.4027724838816808
1.259259259259259,11,0.589034031166273
1.4074074074074074,11,0.6940049257650349
1.5555555555555554,11,0.6613717225935996
1.7037037037037033,11,0.5039699961772819
1.8518518518518516,11,0.2943112645083672
2.0,11,0.10970226700934846
